Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.038747310638427734,1.64453125,,
kNN,bucket_10.arff,Load,0.04763007164001465,0.640625,,
kNN,bucket_2.arff,Load,0.062406063079833984,0.0625,,
kNN,bucket_3.arff,Load,0.042655229568481445,0.015625,,
kNN,bucket_4.arff,Load,0.04573321342468262,0.01953125,,
kNN,bucket_5.arff,Load,0.03789997100830078,0.01171875,,
kNN,bucket_6.arff,Load,0.04282426834106445,0.015625,,
kNN,bucket_7.arff,Load,0.04608321189880371,0.015625,,
kNN,bucket_8.arff,Load,0.041294097900390625,0.015625,,
kNN,bucket_9.arff,Load,0.04637312889099121,0.0078125,,
kNN,bucket_1.arff,Scaling,0.0011379718780517578,0.36328125,,
kNN,bucket_1.arff,Training,0.0009579658508300781,0.4296875,,
kNN,bucket_1.arff,Prediction,0.037992000579833984,0.34765625,,
kNN,bucket_1.arff,Accuracy,0,0,,1.0
kNN,bucket_10.arff,Scaling,0.001880645751953125,0.1484375,,
kNN,bucket_10.arff,Training,0.0008459091186523438,0.296875,,
kNN,bucket_10.arff,Prediction,0.04068303108215332,0.015625,,
kNN,bucket_10.arff,Accuracy,0,0,,1.0
kNN,bucket_2.arff,Scaling,0.001959085464477539,0.05859375,,
kNN,bucket_2.arff,Training,0.0008988380432128906,0.05859375,,
kNN,bucket_2.arff,Prediction,0.04198622703552246,0.01953125,,
kNN,bucket_2.arff,Accuracy,0,0,,1.0
kNN,bucket_3.arff,Scaling,0.00168609619140625,0.08984375,,
kNN,bucket_3.arff,Training,0.0007321834564208984,0.0546875,,
kNN,bucket_3.arff,Prediction,0.03856706619262695,0.1875,,
kNN,bucket_3.arff,Accuracy,0,0,,0.0
kNN,bucket_4.arff,Scaling,0.0019009113311767578,0.0,,
kNN,bucket_4.arff,Training,0.0007853507995605469,0.0,,
kNN,bucket_4.arff,Prediction,0.041486263275146484,0.0234375,,
kNN,bucket_4.arff,Accuracy,0,0,,1.0
kNN,bucket_5.arff,Scaling,0.0019462108612060547,0.02734375,,
kNN,bucket_5.arff,Training,0.0010418891906738281,0.0,,
kNN,bucket_5.arff,Prediction,0.0442500114440918,0.0,,
kNN,bucket_5.arff,Accuracy,0,0,,1.0
kNN,bucket_6.arff,Scaling,0.001991748809814453,0.02734375,,
kNN,bucket_6.arff,Training,0.0007991790771484375,0.05859375,,
kNN,bucket_6.arff,Prediction,0.042793989181518555,0.02734375,,
kNN,bucket_6.arff,Accuracy,0,0,,1.0
kNN,bucket_7.arff,Scaling,0.002192974090576172,0.04296875,,
kNN,bucket_7.arff,Training,0.0009720325469970703,0.05859375,,
kNN,bucket_7.arff,Prediction,0.0440828800201416,0.0,,
kNN,bucket_7.arff,Accuracy,0,0,,0.4864516129032258
kNN,bucket_8.arff,Scaling,0.0019521713256835938,0.0,,
kNN,bucket_8.arff,Training,0.0008349418640136719,0.015625,,
kNN,bucket_8.arff,Prediction,0.03963303565979004,0.0234375,,
kNN,bucket_8.arff,Accuracy,0,0,,0.9716129032258064
