Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.08367800712585449,2.76953125,,
kNN,bucket_10.arff,Load,0.07893204689025879,1.23828125,,
kNN,bucket_2.arff,Load,0.07622408866882324,0.140625,,
kNN,bucket_3.arff,Load,0.07352089881896973,0.01953125,,
kNN,bucket_4.arff,Load,0.07539510726928711,0.01953125,,
kNN,bucket_5.arff,Load,0.07403898239135742,0.015625,,
kNN,bucket_6.arff,Load,0.07523036003112793,0.0234375,,
kNN,bucket_7.arff,Load,0.07650876045227051,0.03515625,,
kNN,bucket_8.arff,Load,0.0718069076538086,0.0390625,,
kNN,bucket_9.arff,Load,0.07353496551513672,0.01953125,,
kNN,bucket_1.arff,Scaling,0.0015079975128173828,0.3359375,,
kNN,bucket_1.arff,Training,0.0011489391326904297,0.48828125,,
kNN,bucket_1.arff,Prediction,0.07111406326293945,0.53125,,
kNN,bucket_1.arff,Accuracy,0,0,,0.44855305466237944
kNN,bucket_10.arff,Scaling,0.0028481483459472656,0.203125,,
kNN,bucket_10.arff,Training,0.0010428428649902344,0.2109375,,
kNN,bucket_10.arff,Prediction,0.06595897674560547,0.38671875,,
kNN,bucket_10.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_2.arff,Scaling,0.002093076705932617,0.0,,
kNN,bucket_2.arff,Training,0.0010700225830078125,0.078125,,
kNN,bucket_2.arff,Prediction,0.07868218421936035,0.06640625,,
kNN,bucket_2.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_3.arff,Scaling,0.0023529529571533203,0.0234375,,
kNN,bucket_3.arff,Training,0.0008780956268310547,0.14453125,,
kNN,bucket_3.arff,Prediction,0.06995105743408203,0.1640625,,
kNN,bucket_3.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_4.arff,Scaling,0.002112150192260742,0.0625,,
kNN,bucket_4.arff,Training,0.0009119510650634766,0.12890625,,
kNN,bucket_4.arff,Prediction,0.06485199928283691,0.04296875,,
kNN,bucket_4.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_5.arff,Scaling,0.0021600723266601562,0.0,,
kNN,bucket_5.arff,Training,0.0009860992431640625,0.0078125,,
kNN,bucket_5.arff,Prediction,0.07380390167236328,0.0,,
kNN,bucket_5.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_6.arff,Scaling,0.001806020736694336,0.0,,
kNN,bucket_6.arff,Training,0.0006759166717529297,0.17578125,,
kNN,bucket_6.arff,Prediction,0.057537078857421875,0.0390625,,
kNN,bucket_6.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_7.arff,Scaling,0.0020799636840820312,0.0,,
kNN,bucket_7.arff,Training,0.0009310245513916016,0.01953125,,
kNN,bucket_7.arff,Prediction,0.06603097915649414,0.01953125,,
kNN,bucket_7.arff,Accuracy,0,0,,0.4467741935483871
kNN,bucket_8.arff,Scaling,0.0022301673889160156,0.00390625,,
kNN,bucket_8.arff,Training,0.0008168220520019531,0.08203125,,
kNN,bucket_8.arff,Prediction,0.06261491775512695,0.015625,,
kNN,bucket_8.arff,Accuracy,0,0,,0.4467741935483871
