Sampling_Multiplier,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
0.4,bucket_1.arff,Load,0.028439760208129883,0.00390625,0.0,
0.4,bucket_10.arff,Load,0.03483700752258301,0.29296875,0.0,
0.4,bucket_2.arff,Load,0.051405906677246094,0.4609375,0.0,
0.4,bucket_3.arff,Load,0.03545498847961426,0.0,0.0,
0.4,bucket_4.arff,Load,0.031046152114868164,0.0,0.0,
0.4,bucket_5.arff,Load,0.02219533920288086,0.0,0.0,
0.4,bucket_6.arff,Load,0.0249631404876709,0.0,0.0,
0.4,bucket_7.arff,Load,0.0222780704498291,0.0,0.0,
0.4,bucket_8.arff,Load,0.04250812530517578,0.0078125,0.0,
0.4,bucket_9.arff,Load,0.03090810775756836,0.0,0.0,
0.4,bucket_1.arff,Scaling,0.0011441707611083984,0.0,0.0,
0.4,bucket_1.arff,Training,0.0009279251098632812,0.0,99.9,
0.4,bucket_1.arff,Prediction,0.027802228927612305,0.03515625,99.9,
0.4,bucket_1.arff,Accuracy,0,0,91.5,0.6825
0.4,bucket_10.arff,Scaling,0.0023431777954101562,0.0,0.0,
0.4,bucket_10.arff,Training,0.0011928081512451172,0.046875,99.0,
0.4,bucket_10.arff,Prediction,0.0483088493347168,0.125,98.6,
0.4,bucket_10.arff,Accuracy,0,0,95.9,0.6661264181523501
0.4,bucket_2.arff,Scaling,0.0025720596313476562,0.1015625,0.0,
0.4,bucket_2.arff,Training,0.0012018680572509766,0.0,99.5,
0.4,bucket_2.arff,Prediction,0.031368255615234375,0.01953125,98.1,
0.4,bucket_2.arff,Accuracy,0,0,98.1,0.7439024390243902
0.4,bucket_3.arff,Scaling,0.002289295196533203,0.0,0.0,
0.4,bucket_3.arff,Training,0.001077890396118164,0.015625,100.0,
0.4,bucket_3.arff,Prediction,0.029644012451171875,0.00390625,97.9,
0.4,bucket_3.arff,Accuracy,0,0,96.2,0.7257617728531855
0.4,bucket_4.arff,Scaling,0.002332925796508789,0.0,0.0,
0.4,bucket_4.arff,Training,0.001689910888671875,0.0,94.5,
0.4,bucket_4.arff,Prediction,0.022687911987304688,0.0,98.9,
0.4,bucket_4.arff,Accuracy,0,0,93.0,0.7111111111111111
0.4,bucket_5.arff,Scaling,0.0023920536041259766,0.0,0.0,
0.4,bucket_5.arff,Training,0.0014140605926513672,0.0,98.8,
0.4,bucket_5.arff,Prediction,0.02074599266052246,0.0,98.8,
0.4,bucket_5.arff,Accuracy,0,0,94.9,0.6555555555555556
0.4,bucket_6.arff,Scaling,0.002583026885986328,0.0,0.0,
0.4,bucket_6.arff,Training,0.0010831356048583984,0.0,100.0,
0.4,bucket_6.arff,Prediction,0.02149796485900879,0.0,98.6,
0.4,bucket_6.arff,Accuracy,0,0,96.1,0.7120622568093385
0.4,bucket_7.arff,Scaling,0.00226593017578125,0.0,0.0,
0.4,bucket_7.arff,Training,0.0015401840209960938,0.0,98.5,
0.4,bucket_7.arff,Prediction,0.03848910331726074,0.0390625,98.7,
0.4,bucket_7.arff,Accuracy,0,0,95.9,0.6505050505050505
0.4,bucket_8.arff,Scaling,0.002418041229248047,0.015625,0.0,
0.4,bucket_8.arff,Training,0.0010552406311035156,0.0,100.0,
0.4,bucket_8.arff,Prediction,0.029400110244750977,0.0,97.4,
0.4,bucket_8.arff,Accuracy,0,0,95.5,0.7320441988950276
