Sampling_Multiplier,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
0.5,bucket_1.arff,Load,0.011304855346679688,0.0,0.0,
0.5,bucket_10.arff,Load,0.028294086456298828,-0.328125,0.0,
0.5,bucket_2.arff,Load,0.06830477714538574,0.96875,0.0,
0.5,bucket_3.arff,Load,0.02924966812133789,0.01953125,0.0,
0.5,bucket_4.arff,Load,0.02213311195373535,0.0,0.0,
0.5,bucket_5.arff,Load,0.0044269561767578125,0.0,0.0,
0.5,bucket_6.arff,Load,0.004955768585205078,0.0,0.0,
0.5,bucket_7.arff,Load,0.002579927444458008,0.0,0.0,
0.5,bucket_8.arff,Load,0.05262613296508789,0.015625,0.0,
0.5,bucket_9.arff,Load,0.024135828018188477,0.0,0.0,
0.5,bucket_1.arff,Scaling,0.001051187515258789,0.0,0.0,
0.5,bucket_1.arff,Training,0.0008249282836914062,0.0,98.8,
0.5,bucket_1.arff,Prediction,0.02272200584411621,0.0,99.2,
0.5,bucket_1.arff,Accuracy,0,0,94.2,0.593167701863354
0.5,bucket_10.arff,Scaling,0.0016269683837890625,0.0,0.0,
0.5,bucket_10.arff,Training,0.001155853271484375,0.0,99.9,
0.5,bucket_10.arff,Prediction,0.05626392364501953,0.0,99.0,
0.5,bucket_10.arff,Accuracy,0,0,93.7,0.6590621039290241
0.5,bucket_2.arff,Scaling,0.0029871463775634766,0.12109375,0.0,
0.5,bucket_2.arff,Training,0.002074003219604492,0.15234375,99.4,
0.5,bucket_2.arff,Prediction,0.026983022689819336,0.0,98.7,
0.5,bucket_2.arff,Accuracy,0,0,92.1,0.663768115942029
0.5,bucket_3.arff,Scaling,0.0027446746826171875,0.0,0.0,
0.5,bucket_3.arff,Training,0.0011179447174072266,0.0,99.6,
0.5,bucket_3.arff,Prediction,0.018884658813476562,0.0,98.8,
0.5,bucket_3.arff,Accuracy,0,0,93.1,0.5983263598326359
0.5,bucket_4.arff,Scaling,0.004540205001831055,0.01953125,0.0,
0.5,bucket_4.arff,Training,0.002032041549682617,0.00390625,92.9,
0.5,bucket_4.arff,Prediction,0.0064449310302734375,0.0,99.1,
0.5,bucket_4.arff,Accuracy,0,0,93.3,0.6363636363636364
0.5,bucket_5.arff,Scaling,0.0024156570434570312,0.0,0.0,
0.5,bucket_5.arff,Training,0.0017881393432617188,0.0,95.4,
0.5,bucket_5.arff,Prediction,0.006806135177612305,0.0,96.7,
0.5,bucket_5.arff,Accuracy,0,0,94.5,0.5227272727272727
0.5,bucket_6.arff,Scaling,0.0025610923767089844,0.0390625,0.0,
0.5,bucket_6.arff,Training,0.001199960708618164,0.0,100.0,
0.5,bucket_6.arff,Prediction,0.003255128860473633,0.0,97.6,
0.5,bucket_6.arff,Accuracy,0,0,92.1,0.6666666666666666
0.5,bucket_7.arff,Scaling,0.002672910690307617,0.0,0.0,
0.5,bucket_7.arff,Training,0.0015261173248291016,0.0,100.5,
0.5,bucket_7.arff,Prediction,0.03987479209899902,0.0,99.1,
0.5,bucket_7.arff,Accuracy,0,0,95.3,0.4981060606060606
0.5,bucket_8.arff,Scaling,0.0026998519897460938,0.0,0.0,
0.5,bucket_8.arff,Training,0.0013048648834228516,0.0546875,100.0,
0.5,bucket_8.arff,Prediction,0.01863718032836914,0.0,99.0,
0.5,bucket_8.arff,Accuracy,0,0,96.6,0.6666666666666666
