Sampling_Multiplier,Average_Accuracy,Total_Time_Sec,Peak_Memory_MB
0.1,0.4901777557352784,0.09657597541809082,0.683323860168457
0.2,0.5801282359243244,0.1391890048980713,0.6874065399169922
0.3,0.5859515621827511,0.19589996337890625,0.7276611328125
0.5,0.6116505093997051,0.2607429027557373,0.8162660598754883
0.6,0.5840395718136924,0.2843167781829834,0.8568582534790039
0.7,0.5887624289377325,0.32013797760009766,0.9117860794067383
0.8,0.5982779584025654,0.4397010803222656,0.9468841552734375
0.9,0.5881183298922523,0.40722203254699707,0.9992313385009766
