Sampling_Multiplier,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
0.3,bucket_1.arff,Load,0.007135868072509766,0.0,0.0,
0.3,bucket_10.arff,Load,0.017328977584838867,0.0,0.0,
0.3,bucket_2.arff,Load,0.04073500633239746,0.203125,0.0,
0.3,bucket_3.arff,Load,0.017759323120117188,0.0,0.0,
0.3,bucket_4.arff,Load,0.013206958770751953,0.0,0.0,
0.3,bucket_5.arff,Load,0.0028328895568847656,0.0,0.0,
0.3,bucket_6.arff,Load,0.0027790069580078125,0.0,0.0,
0.3,bucket_7.arff,Load,0.0019237995147705078,0.0,0.0,
0.3,bucket_8.arff,Load,0.027666091918945312,0.0,0.0,
0.3,bucket_9.arff,Load,0.013422966003417969,0.0,0.0,
0.3,bucket_1.arff,Scaling,0.0009992122650146484,0.0,0.0,
0.3,bucket_1.arff,Training,0.0009479522705078125,0.0,99.8,
0.3,bucket_1.arff,Prediction,0.013782978057861328,0.0,98.4,
0.3,bucket_1.arff,Accuracy,0,0,91.9,0.6237113402061856
0.3,bucket_10.arff,Scaling,0.0012552738189697266,0.0,0.0,
0.3,bucket_10.arff,Training,0.0008342266082763672,0.0,100.0,
0.3,bucket_10.arff,Prediction,0.03352808952331543,0.0,98.7,
0.3,bucket_10.arff,Accuracy,0,0,95.3,0.6054852320675106
0.3,bucket_2.arff,Scaling,0.0025649070739746094,0.0,0.0,
0.3,bucket_2.arff,Training,0.0012826919555664062,0.01953125,101.0,
0.3,bucket_2.arff,Prediction,0.016587018966674805,0.0390625,98.4,
0.3,bucket_2.arff,Accuracy,0,0,93.3,0.7198067632850241
0.3,bucket_3.arff,Scaling,0.002655029296875,0.0625,0.0,
0.3,bucket_3.arff,Training,0.001699686050415039,0.0,99.6,
0.3,bucket_3.arff,Prediction,0.013143062591552734,0.0234375,97.2,
0.3,bucket_3.arff,Accuracy,0,0,93.6,0.6013986013986014
0.3,bucket_4.arff,Scaling,0.0021729469299316406,0.0,0.0,
0.3,bucket_4.arff,Training,0.0010333061218261719,0.0,100.0,
0.3,bucket_4.arff,Prediction,0.004430055618286133,0.0,95.0,
0.3,bucket_4.arff,Accuracy,0,0,92.0,0.6153846153846154
0.3,bucket_5.arff,Scaling,0.002638101577758789,0.0,0.0,
0.3,bucket_5.arff,Training,0.0014340877532958984,0.0,96.2,
0.3,bucket_5.arff,Prediction,0.007048368453979492,0.00390625,98.3,
0.3,bucket_5.arff,Accuracy,0,0,94.5,0.5769230769230769
0.3,bucket_6.arff,Scaling,0.0048580169677734375,0.08203125,0.0,
0.3,bucket_6.arff,Training,0.0018758773803710938,0.0234375,96.7,
0.3,bucket_6.arff,Prediction,0.0034360885620117188,0.0,98.8,
0.3,bucket_6.arff,Accuracy,0,0,93.2,0.4444444444444444
0.3,bucket_7.arff,Scaling,0.004446983337402344,0.01171875,0.0,
0.3,bucket_7.arff,Training,0.0015501976013183594,0.0234375,98.3,
0.3,bucket_7.arff,Prediction,0.031321048736572266,0.0,99.0,
0.3,bucket_7.arff,Accuracy,0,0,85.0,0.46835443037974683
0.3,bucket_8.arff,Scaling,0.002360820770263672,0.0,0.0,
0.3,bucket_8.arff,Training,0.00138092041015625,0.0078125,100.1,
0.3,bucket_8.arff,Prediction,0.01332998275756836,0.02734375,98.4,
0.3,bucket_8.arff,Accuracy,0,0,95.6,0.6180555555555556
